Text,Image,Folio
urn:cts:greekLit:tlg5026.e3.hmt:11.1,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.0815,0.1687,0.3663,0.3797",urn:cite:hmt:e3bifolio.E3_136v_137r
urn:cts:greekLit:tlg5026.e3.hmt:11.2,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.0881,0.5406,0.1287,0.1958",urn:cite:hmt:e3bifolio.E3_136v_137r
urn:cts:greekLit:tlg5026.e3.hmt:11.3,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.0869,0.7275,0.3599,0.0664",urn:cite:hmt:e3bifolio.E3_136v_137r
urn:cts:greekLit:tlg5026.e3.hmt:11.4,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.105,0.7695,0.3434,0.0526",urn:cite:hmt:e3bifolio.E3_136v_137r
urn:cts:greekLit:tlg5026.e3.hmt:11.5,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.0925,0.8043,0.3434,0.025",urn:cite:hmt:e3bifolio.E3_136v_137r
urn:cts:greekLit:tlg5026.e3.hmt:11.6,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.0842,0.8249,0.2347,0.0223",urn:cite:hmt:e3bifolio.E3_136v_137r
urn:cts:greekLit:tlg5026.e3.hmt:11.7,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.0989,0.8196,0.3419,0.1064",urn:cite:hmt:e3bifolio.E3_136v_137r
urn:cts:greekLit:tlg5026.e3.hmt:11.8,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.4721,0.2163,0.3665,0.0838",urn:cite:hmt:e3bifolio.E3_136v_137r
urn:cts:greekLit:tlg5026.e3.hmt:11.9,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.7026,0.3172,0.1214,0.2603",urn:cite:hmt:e3bifolio.E3_136v_137r
urn:cts:greekLit:tlg5026.e3.hmt:11.10,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.7008,0.5761,0.1323,0.1737",urn:cite:hmt:e3bifolio.E3_136v_137r
urn:cts:greekLit:tlg5026.e3.hmt:11.11,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.468,0.743,0.3492,0.0354",urn:cite:hmt:e3bifolio.E3_136v_137r
