FootnoteUrn,Scholion,TextUrn,Image,Number,Folio,SequenceOnFolio
urn:cite:hmt:e3footnotes.11-1,urn:cts:greekLit:tlg5026.e3.hmt:11.1,urn:cts:greekLit:tlg0012.tlg001.e3:11.1@ἠὼς,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2303,0.3396,0.0158,0.0167",1,urn:cite:hmt:e3bifolio.E3_136v_137r,1
urn:cite:hmt:e3footnotes.11-2,urn:cts:greekLit:tlg5026.e3.hmt:11.2,urn:cts:greekLit:tlg0012.tlg001.e3:11.1@Τιθωνοῖο,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.3779,0.3498,0.0158,0.0167",2,urn:cite:hmt:e3bifolio.E3_136v_137r,2
urn:cite:hmt:e3footnotes.11-3,urn:cts:greekLit:tlg5026.e3.hmt:11.4,urn:cts:greekLit:tlg0012.tlg001.e3:11.2@ἀθανάτοισι,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2793,0.3633,0.0158,0.0167",3,urn:cite:hmt:e3bifolio.E3_136v_137r,3
urn:cite:hmt:e3footnotes.11-4,urn:cts:greekLit:tlg5026.e3.hmt:11.3,urn:cts:greekLit:tlg0012.tlg001.e3:11.3@Ἔριδα,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2712,0.3792,0.0158,0.0167",4,urn:cite:hmt:e3bifolio.E3_136v_137r,4
urn:cite:hmt:e3footnotes.11-5,,urn:cts:greekLit:tlg0012.tlg001.e3:11.5@Ὀδυσσῆος,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2725,0.4135,0.0158,0.0167",5,urn:cite:hmt:e3bifolio.E3_136v_137r,5
urn:cite:hmt:e3footnotes.11-6,,urn:cts:greekLit:tlg0012.tlg001.e3:11.8@ἐπ᾽ Ἀχιλλῆος,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2573,0.4673,0.0158,0.0167",6,urn:cite:hmt:e3bifolio.E3_136v_137r,6
urn:cite:hmt:e3footnotes.11-7,,urn:cts:greekLit:tlg0012.tlg001.e3:11.11@Ἀχαιοῖσι,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.278,0.52,0.0158,0.0167",7,urn:cite:hmt:e3bifolio.E3_136v_137r,7
urn:cite:hmt:e3footnotes.11-8,urn:cts:greekLit:tlg5026.e3.hmt:11.5,urn:cts:greekLit:tlg0012.tlg001.e3:11.13@ἄφαρ,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2695,0.5563,0.0136,0.0139",8,urn:cite:hmt:e3bifolio.E3_136v_137r,8
urn:cite:hmt:e3footnotes.11-9,urn:cts:greekLit:tlg5026.e3.hmt:11.6,urn:cts:greekLit:tlg0012.tlg001.e3:11.16@ἐδύσετο,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.3215,0.6065,0.0133,0.0118",9,urn:cite:hmt:e3bifolio.E3_136v_137r,9
urn:cite:hmt:e3footnotes.11-10,urn:cts:greekLit:tlg5026.e3.hmt:11.7,urn:cts:greekLit:tlg0012.tlg001.e3:11.20@Κινύρης,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2811,0.6773,0.0133,0.0126",10,urn:cite:hmt:e3bifolio.E3_136v_137r,10
urn:cite:hmt:e3footnotes.11-11,urn:cts:greekLit:tlg5026.e3.hmt:11.8,urn:cts:greekLit:tlg0012.tlg001.e3:11.24@οἶμοι,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5643,0.3297,0.0136,0.0156",11,urn:cite:hmt:e3bifolio.E3_136v_137r,11
urn:cite:hmt:e3footnotes.11-12,urn:cts:greekLit:tlg5026.e3.hmt:11.9,urn:cts:greekLit:tlg0012.tlg001.e3:11.26@δράκοντες,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5658,0.3622,0.0136,0.0156",12,urn:cite:hmt:e3bifolio.E3_136v_137r,12
urn:cite:hmt:e3footnotes.11-13,urn:cts:greekLit:tlg5026.e3.hmt:11.10,urn:cts:greekLit:tlg0012.tlg001.e3:11.27@ἴρισσιν,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5551,0.3804,0.0136,0.0156",13,urn:cite:hmt:e3bifolio.E3_136v_137r,13
urn:cite:hmt:e3footnotes.11-14,urn:cts:greekLit:tlg5026.e3.hmt:11.11,urn:cts:greekLit:tlg0012.tlg001.e3:11.28@τέρας,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5793,0.3978,0.0136,0.0156",14,urn:cite:hmt:e3bifolio.E3_136v_137r,14
urn:cite:hmt:e3footnotes.11-15,urn:cts:greekLit:tlg5026.e3.hmt:11.12,urn:cts:greekLit:tlg0012.tlg001.e3:11.36@Γοργὼ,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5528,0.5356,0.0136,0.0156",15,urn:cite:hmt:e3bifolio.E3_136v_137r,15
urn:cite:hmt:e3footnotes.11-16,urn:cts:greekLit:tlg5026.e3.hmt:11.13,urn:cts:greekLit:tlg0012.tlg001.e3:11.40@ἀμφιστρεφέες,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5253,0.6028,0.0136,0.0156",16,urn:cite:hmt:e3bifolio.E3_136v_137r,16
urn:cite:hmt:e3footnotes.11-17,urn:cts:greekLit:tlg5026.e3.hmt:11.14,urn:cts:greekLit:tlg0012.tlg001.e3:11.45@ἐγδούπησαν,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5675,0.6864,0.0136,0.0156",17,urn:cite:hmt:e3bifolio.E3_136v_137r,17
urn:cite:hmt:e3footnotes.11-18,,,,1,urn:cite:hmt:e3bifolio.E3_137v_138r,1
urn:cite:hmt:e3footnotes.11-19,,,,2,urn:cite:hmt:e3bifolio.E3_137v_138r,2
urn:cite:hmt:e3footnotes.11-20,,,,3,urn:cite:hmt:e3bifolio.E3_137v_138r,3
urn:cite:hmt:e3footnotes.11-21,,,,4,urn:cite:hmt:e3bifolio.E3_137v_138r,4
urn:cite:hmt:e3footnotes.11-22,,,,5,urn:cite:hmt:e3bifolio.E3_137v_138r,5
urn:cite:hmt:e3footnotes.11-23,,,,6,urn:cite:hmt:e3bifolio.E3_137v_138r,6
urn:cite:hmt:e3footnotes.11-24,,,,7,urn:cite:hmt:e3bifolio.E3_137v_138r,7
urn:cite:hmt:e3footnotes.11-25,,,,8,urn:cite:hmt:e3bifolio.E3_137v_138r,8
urn:cite:hmt:e3footnotes.11-26,,,,9,urn:cite:hmt:e3bifolio.E3_137v_138r,9
urn:cite:hmt:e3footnotes.11-27,,,,10,urn:cite:hmt:e3bifolio.E3_137v_138r,10
urn:cite:hmt:e3footnotes.11-28,,,,11,urn:cite:hmt:e3bifolio.E3_137v_138r,11
urn:cite:hmt:e3footnotes.11-29,,,,12,urn:cite:hmt:e3bifolio.E3_137v_138r,12
urn:cite:hmt:e3footnotes.11-30,,,,13,urn:cite:hmt:e3bifolio.E3_137v_138r,13
urn:cite:hmt:e3footnotes.11-31,,,,14,urn:cite:hmt:e3bifolio.E3_137v_138r,14
urn:cite:hmt:e3footnotes.11-32,,,,15,urn:cite:hmt:e3bifolio.E3_137v_138r,15
urn:cite:hmt:e3footnotes.11-33,,,,16,urn:cite:hmt:e3bifolio.E3_137v_138r,16
urn:cite:hmt:e3footnotes.11-34,,,,17,urn:cite:hmt:e3bifolio.E3_137v_138r,17
urn:cite:hmt:e3footnotes.11-35,,,,18,urn:cite:hmt:e3bifolio.E3_137v_138r,18
urn:cite:hmt:e3footnotes.11-36,,,,19,urn:cite:hmt:e3bifolio.E3_137v_138r,19
urn:cite:hmt:e3footnotes.11-37,,,,20,urn:cite:hmt:e3bifolio.E3_137v_138r,20
urn:cite:hmt:e3footnotes.11-38,,urn:cts:greekLit:tlg0012.tlg001.e3:11.98@πεπάλακτο,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3177,0.3652,0.0122,0.0162",1,urn:cite:hmt:e3bifolio.E3_138v_139r,1
urn:cite:hmt:e3footnotes.11-39,,urn:cts:greekLit:tlg0012.tlg001.e3:11.100@παμφαίνοντας,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3019,0.3993,0.0122,0.0162",2,urn:cite:hmt:e3bifolio.E3_138v_139r,2
urn:cite:hmt:e3footnotes.11-40,,urn:cts:greekLit:tlg0012.tlg001.e3:11.103@νόθος,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3753,0.4517,0.0122,0.0162",3,urn:cite:hmt:e3bifolio.E3_138v_139r,3
urn:cite:hmt:e3footnotes.11-41,,urn:cts:greekLit:tlg0012.tlg001.e3:11.104@ Ἀχιλλεὺς,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4114,0.4687,0.0122,0.0162",4,urn:cite:hmt:e3bifolio.E3_138v_139r,4
urn:cite:hmt:e3footnotes.11-42,,urn:cts:greekLit:tlg0012.tlg001.e3:11.105@μόσχοισι,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3497,0.4862,0.0122,0.0162",5,urn:cite:hmt:e3bifolio.E3_138v_139r,5
urn:cite:hmt:e3footnotes.11-43,,urn:cts:greekLit:tlg0012.tlg001.e3:11.110@σπερχόμενος,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2656,0.5691,0.0122,0.0162",6,urn:cite:hmt:e3bifolio.E3_138v_139r,6
urn:cite:hmt:e3footnotes.11-44,,urn:cts:greekLit:tlg0012.tlg001.e3:11.113@λέων,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.253,0.6194,0.0122,0.0162",7,urn:cite:hmt:e3bifolio.E3_138v_139r,7
urn:cite:hmt:e3footnotes.11-45,,urn:cts:greekLit:tlg0012.tlg001.e3:11.115@εἰς εὐνήν,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2574,0.6513,0.0122,0.0162",8,urn:cite:hmt:e3bifolio.E3_138v_139r,8
urn:cite:hmt:e3footnotes.11-47,,urn:cts:greekLit:tlg0012.tlg001.e3:11.115@ἁπαλὸν,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3037,0.653,0.0122,0.0162",9,urn:cite:hmt:e3bifolio.E3_138v_139r,9
urn:cite:hmt:e3footnotes.11-48,,urn:cts:greekLit:tlg0012.tlg001.e3:11.117@αὐτὴν γάρ μιν,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3002,0.6862,0.0122,0.0162",10,urn:cite:hmt:e3bifolio.E3_138v_139r,10
urn:cite:hmt:e3footnotes.11-49,,urn:cts:greekLit:tlg0012.tlg001.e3:11.123@δαΐφρονος,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.5756,0.3893,0.015,0.0145",11,urn:cite:hmt:e3bifolio.E3_138v_139r,11
urn:cite:hmt:e3footnotes.11-51,,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,urn:cite:hmt:e3bifolio.E3_138v_139r,
urn:cite:hmt:e3footnotes.11-52,,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,urn:cite:hmt:e3bifolio.E3_138v_139r,
urn:cite:hmt:e3footnotes.11-54,,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,urn:cite:hmt:e3bifolio.E3_138v_139r,
urn:cite:hmt:e3footnotes.11-54,,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,urn:cite:hmt:e3bifolio.E3_138v_139r,
urn:cite:hmt:e3footnotes.11-55,,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,urn:cite:hmt:e3bifolio.E3_138v_139r,
urn:cite:hmt:e3footnotes.11-56,,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,urn:cite:hmt:e3bifolio.E3_138v_139r,
urn:cite:hmt:e3footnotes.11-57,,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,urn:cite:hmt:e3bifolio.E3_138v_139r,
urn:cite:hmt:e3footnotes.11-58,,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,urn:cite:hmt:e3bifolio.E3_138v_139r,
urn:cite:hmt:e3footnotes.11-59,,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,urn:cite:hmt:e3bifolio.E3_138v_139r,
urn:cite:hmt:e3footnotes.11-60,,urn:cts:greekLit:tlg0012.tlg001.e3:11.,"",,urn:cite:hmt:e3bifolio.E3_138v_139r,
