Text,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:11.1,"urn:cite:hmt:vaimg.VA138RN-0310@0.8156,0.4895,0.0621,0.0195",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAext.hmt:11.2,"urn:cite:hmt:vaimg.VA138RN-0310@0.8096,0.6414,0.0772,0.0241",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAext.hmt:11.3,"urn:cite:hmt:vaimg.VA138VN-0640@0.104,0.4887,0.052,0.018",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msAext.hmt:11.4,"urn:cite:hmt:vaimg.VA139RN-0311@0.8577,0.2414,0.0421,0.0173",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msAext.hmt:11.5,"urn:cite:hmt:vaimg.VA139RN-0311@0.8557,0.4075,0.0411,0.0218",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msAext.hmt:11.6,"urn:cite:hmt:vaimg.VA143RN-0315@0.794,0.6849,0.085,0.0398",urn:cite:hmt:msA.143r
urn:cts:greekLit:tlg5026.msAext.hmt:11.7,"",
urn:cts:greekLit:tlg5026.msAext.hmt:11.8,"",
urn:cts:greekLit:tlg5026.msAext.hmt:11.9,"",
urn:cts:greekLit:tlg5026.msAext.hmt:11.10,"",
urn:cts:greekLit:tlg5026.msAext.hmt:11.11,"",
urn:cts:greekLit:tlg5026.msAext.hmt:11.12,"",
