Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:11.1,"urn:cite:hmt:vaimg.VA137VN-0639@0.4208,0.4361,0.0381,0.0346",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msAim.hmt:11.2,"urn:cite:hmt:vaimg.VA137VN-0639@0.4148,0.6782,0.0491,0.0323",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msAim.hmt:11.3,"urn:cite:hmt:vaimg.VA138RN-0310@0.5661,0.2406,0.0301,0.0195",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAim.hmt:11.4,"urn:cite:hmt:vaimg.VA138VN-0640@0.542,0.2117,0.37,0.0345",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msAim.hmt:11.5,"urn:cite:hmt:vaimg.VA138VN-0640@0.426,0.2673,0.057,0.027",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msAim.hmt:11.6,"urn:cite:hmt:vaimg.VA138VN-0640@0.425,0.3086,0.047,0.045",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msAim.hmt:11.7,"urn:cite:hmt:vaimg.VA138VN-0640@0.429,0.3498,0.049,0.03",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msAim.hmt:11.8,"urn:cite:hmt:vaimg.VA138VN-0640@0.431,0.6396,0.05,0.0833",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msAim.hmt:11.9,"urn:cite:hmt:vaimg.VA139RN-0311@0.5691,0.497,0.0601,0.0173",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msAim.hmt:11.10,"urn:cite:hmt:vaimg.VA139RN-0311@0.5942,0.5143,0.0591,0.0233",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msAim.hmt:11.11,"urn:cite:hmt:vaimg.VA139RN-0311@0.6062,0.5361,0.0882,0.0165",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msAim.hmt:11.12,"urn:cite:hmt:vaimg.VA139VN-0641@0.419,0.2926,0.057,0.024",urn:cite:hmt:msA.139v
urn:cts:greekLit:tlg5026.msAim.hmt:11.13,"urn:cite:hmt:vaimg.VA139VN-0641@0.418,0.3121,0.057,0.0413",urn:cite:hmt:msA.139v
urn:cts:greekLit:tlg5026.msAim.hmt:11.14,"urn:cite:hmt:vaimg.VA139VN-0641@0.4248,0.5135,0.0481,0.0226",urn:cite:hmt:msA.139v
urn:cts:greekLit:tlg5026.msAim.hmt:11.15,"urn:cite:hmt:vaimg.VA139VN-0641@0.4228,0.6639,0.0571,0.0361",urn:cite:hmt:msA.139v
urn:cts:greekLit:tlg5026.msAim.hmt:11.16,"urn:cite:hmt:vaimg.VA140RN-0312@0.588,0.2468,0.05,0.0218",urn:cite:hmt:msA.140r
urn:cts:greekLit:tlg5026.msAim.hmt:11.17,"urn:cite:hmt:vaimg.VA140RN-0312@0.582,0.2753,0.056,0.015",urn:cite:hmt:msA.140r
urn:cts:greekLit:tlg5026.msAim.hmt:11.18,"urn:cite:hmt:vaimg.VA140RN-0312@0.5892,0.3256,0.0531,0.0323",urn:cite:hmt:msA.140r
urn:cts:greekLit:tlg5026.msAim.hmt:11.19,"urn:cite:hmt:vaimg.VA140RN-0312@0.521,0.4794,0.067,0.0203",urn:cite:hmt:msA.140r
urn:cts:greekLit:tlg5026.msAim.hmt:11.20,"urn:cite:hmt:vaimg.VA140RN-0312@0.569,0.5034,0.069,0.0173",urn:cite:hmt:msA.140r
urn:cts:greekLit:tlg5026.msAim.hmt:11.21,"urn:cite:hmt:vaimg.VA141RN-0313@0.598,0.1997,0.05,0.0248",urn:cite:hmt:msA.141r
urn:cts:greekLit:tlg5026.msAim.hmt:11.22,"urn:cite:hmt:vaimg.VA141RN-0313@0.597,0.3581,0.071,0.0188",urn:cite:hmt:msA.141r
urn:cts:greekLit:tlg5026.msAim.hmt:11.23,"urn:cite:hmt:vaimg.VA141VN-0643@0.477,0.4771,0.029,0.0465",urn:cite:hmt:msA.141v
urn:cts:greekLit:tlg5026.msAim.hmt:11.24,"urn:cite:hmt:vaimg.VA142RN-0314@0.516,0.2866,0.052,0.0143",urn:cite:hmt:msA.142r
urn:cts:greekLit:tlg5026.msAim.hmt:11.25,"urn:cite:hmt:vaimg.VA142VN-0644@0.435,0.3166,0.076,0.081",urn:cite:hmt:msA.142v
urn:cts:greekLit:tlg5026.msAim.hmt:11.26,"urn:cite:hmt:vaimg.VA143RN-0315@0.599,0.3173,0.079,0.03",urn:cite:hmt:msA.143r
urn:cts:greekLit:tlg5026.msAim.hmt:11.27,"urn:cite:hmt:vaimg.VA143RN-0315@0.528,0.6264,0.045,0.0195",urn:cite:hmt:msA.143r
urn:cts:greekLit:tlg5026.msAim.hmt:11.28,"urn:cite:hmt:vaimg.VA143VN-0645@0.447,0.3346,0.061,0.0458",urn:cite:hmt:msA.143v
urn:cts:greekLit:tlg5026.msAim.hmt:11.29,"urn:cite:hmt:vaimg.VA143VN-0645@0.444,0.5124,0.079,0.0188",urn:cite:hmt:msA.143v
urn:cts:greekLit:tlg5026.msAim.hmt:11.30,"urn:cite:hmt:vaimg.VA143VN-0645@0.441,0.5859,0.072,0.0375",urn:cite:hmt:msA.143v
urn:cts:greekLit:tlg5026.msAim.hmt:11.31,"urn:cite:hmt:vaimg.VA143VN-0645@0.443,0.7067,0.081,0.0315",urn:cite:hmt:msA.143v
urn:cts:greekLit:tlg5026.msAim.hmt:11.32,"urn:cite:hmt:vaimg.VA144RN-0316@0.562,0.3923,0.115,0.048",urn:cite:hmt:msA.144r
urn:cts:greekLit:tlg5026.msAim.hmt:11.33,"urn:cite:hmt:vaimg.VA144RN-0316@0.537,0.4494,0.123,0.0225",urn:cite:hmt:msA.144r
urn:cts:greekLit:tlg5026.msAim.hmt:11.34,"urn:cite:hmt:vaimg.VA144RN-0316@0.547,0.5686,0.114,0.0225",urn:cite:hmt:msA.144r
urn:cts:greekLit:tlg5026.msAim.hmt:11.35,"urn:cite:hmt:vaimg.VA144RN-0316@0.555,0.6242,0.094,0.0233",urn:cite:hmt:msA.144r
urn:cts:greekLit:tlg5026.msAim.hmt:11.36,"urn:cite:hmt:vaimg.VA144RN-0316@0.377,0.6857,0.222,0.021",urn:cite:hmt:msA.144r
urn:cts:greekLit:tlg5026.msAim.hmt:11.37,"urn:cite:hmt:vaimg.VA144VN-0646@0.44,0.2806,0.06,0.0405",urn:cite:hmt:msA.144v
urn:cts:greekLit:tlg5026.msAim.hmt:11.38,"urn:cite:hmt:vaimg.VA144VN-0646@0.432,0.3241,0.071,0.0435",urn:cite:hmt:msA.144v
urn:cts:greekLit:tlg5026.msAim.hmt:11.39,"urn:cite:hmt:vaimg.VA144VN-0646@0.44,0.5529,0.071,0.0383",urn:cite:hmt:msA.144v
urn:cts:greekLit:tlg5026.msAim.hmt:11.41,"urn:cite:hmt:vaimg.VA144VN-0646@0.433,0.6114,0.082,0.0698",urn:cite:hmt:msA.144v
urn:cts:greekLit:tlg5026.msAim.hmt:11.42,"urn:cite:hmt:vaimg.VA145RN-0317@0.547,0.4126,0.041,0.033",urn:cite:hmt:msA.145r
urn:cts:greekLit:tlg5026.msAim.hmt:11.43,"urn:cite:hmt:vaimg.VA145RN-0317@0.552,0.5041,0.036,0.0375",urn:cite:hmt:msA.145r
urn:cts:greekLit:tlg5026.msAim.hmt:11.44,"urn:cite:hmt:vaimg.VA145RN-0317@0.552,0.5671,0.057,0.0338",urn:cite:hmt:msA.145r
urn:cts:greekLit:tlg5026.msAim.hmt:11.45,"urn:cite:hmt:vaimg.VA145RN-0317@0.519,0.6834,0.077,0.0128",urn:cite:hmt:msA.145r
urn:cts:greekLit:tlg5026.msAim.hmt:11.46,"",
urn:cts:greekLit:tlg5026.msAim.hmt:11.47,"",
urn:cts:greekLit:tlg5026.msAim.hmt:11.48,"",
urn:cts:greekLit:tlg5026.msAim.hmt:11.49,"",
urn:cts:greekLit:tlg5026.msAim.hmt:11.50,"",
