Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:11.1,"urn:cite:hmt:vaimg.VA137VN-0639@0.204,0.1389,0.704,0.0976",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msA.hmt:11.2,"urn:cite:hmt:vaimg.VA137VN-0639@0.194,0.232,0.23,0.1539",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msA.hmt:11.3,"urn:cite:hmt:vaimg.VA137VN-0639@0.187,0.3821,0.24,0.0548",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msA.hmt:11.4,"urn:cite:hmt:vaimg.VA137VN-0639@0.184,0.4324,0.242,0.0623",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msA.hmt:11.5,"urn:cite:hmt:vaimg.VA137VN-0639@0.183,0.4887,0.237,0.0871",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msA.hmt:11.6,"urn:cite:hmt:vaimg.VA137VN-0639@0.174,0.5736,0.249,0.0661",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msA.hmt:11.7,"urn:cite:hmt:vaimg.VA137VN-0639@0.184,0.6359,0.235,0.0503",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msA.hmt:11.8,"urn:cite:hmt:vaimg.VA137VN-0639@0.187,0.6817,0.239,0.0488",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msA.hmt:11.9,"urn:cite:hmt:vaimg.VA137VN-0639@0.18,0.7155,0.25,0.0383",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msA.hmt:11.10,"urn:cite:hmt:vaimg.VA137VN-0639@0.191,0.7335,0.711,0.0616",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msA.hmt:11.11,"urn:cite:hmt:vaimg.VA138RN-0310@0.161,0.1104,0.532,0.0195",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.12,"urn:cite:hmt:vaimg.VA138RN-0310@0.166,0.1126,0.642,0.045",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.13,"urn:cite:hmt:vaimg.VA138RN-0310@0.165,0.1441,0.64,0.021",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.14,"urn:cite:hmt:vaimg.VA138RN-0310@0.164,0.1614,0.657,0.0218",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.15,"urn:cite:hmt:vaimg.VA138RN-0310@0.172,0.1712,0.644,0.0353",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.16,"urn:cite:hmt:vaimg.VA138RN-0310@0.266,0.1952,0.552,0.0188",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.17,"urn:cite:hmt:vaimg.VA138RN-0310@0.585,0.2087,0.23,0.0931",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.18,"urn:cite:hmt:vaimg.VA138RN-0310@0.583,0.3003,0.231,0.0338",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.19,"urn:cite:hmt:vaimg.VA138RN-0310@0.602,0.3258,0.205,0.0233",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.20,"urn:cite:hmt:vaimg.VA138RN-0310@0.594,0.3446,0.21,0.0931",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.21,"urn:cite:hmt:vaimg.VA138RN-0310@0.584,0.4332,0.213,0.0368",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.22,"urn:cite:hmt:vaimg.VA138RN-0310@0.603,0.4715,0.202,0.033",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.23,"urn:cite:hmt:vaimg.VA138RN-0310@0.611,0.5023,0.205,0.0743",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.24,"urn:cite:hmt:vaimg.VA138RN-0310@0.602,0.5736,0.19,0.0488",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.25,"urn:cite:hmt:vaimg.VA138RN-0310@0.598,0.6209,0.201,0.045",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.26,"urn:cite:hmt:vaimg.VA138RN-0310@0.598,0.6637,0.19,0.039",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msA.hmt:11.27,"urn:cite:hmt:vaimg.VA138VN-0640@0.192,0.132,0.718,0.0368",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.28,"urn:cite:hmt:vaimg.VA138VN-0640@0.2,0.1508,0.727,0.0653",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.29,"urn:cite:hmt:vaimg.VA138VN-0640@0.199,0.2093,0.224,0.0818",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.30,"urn:cite:hmt:vaimg.VA138VN-0640@0.204,0.2866,0.222,0.0623",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.31,"urn:cite:hmt:vaimg.VA138VN-0640@0.198,0.3406,0.231,0.0638",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.32,"urn:cite:hmt:vaimg.VA138VN-0640@0.203,0.3983,0.234,0.0953",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.33,"urn:cite:hmt:vaimg.VA138VN-0640@0.205,0.4861,0.234,0.03",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.34,"urn:cite:hmt:vaimg.VA138VN-0640@0.206,0.5101,0.234,0.0878",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.35,"urn:cite:hmt:vaimg.VA138VN-0640@0.204,0.5799,0.228,0.0345",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.36,"urn:cite:hmt:vaimg.VA138VN-0640@0.209,0.6024,0.217,0.03",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.37,"urn:cite:hmt:vaimg.VA138VN-0640@0.209,0.6249,0.225,0.0645",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.38,"urn:cite:hmt:vaimg.VA138VN-0640@0.208,0.6789,0.228,0.0548",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.39,"urn:cite:hmt:vaimg.VA138VN-0640@0.211,0.7262,0.296,0.0435",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msA.hmt:11.40,"urn:cite:hmt:vaimg.VA139RN-0311@0.177,0.114,0.639,0.0623",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msA.hmt:11.41,"urn:cite:hmt:vaimg.VA139RN-0311@0.172,0.1605,0.639,0.0285",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msA.hmt:11.42,"urn:cite:hmt:vaimg.VA139RN-0311@0.172,0.1703,0.639,0.0495",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msA.hmt:11.43,"urn:cite:hmt:vaimg.VA139RN-0311@0.592,0.2146,0.226,0.0765",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msA.hmt:11.44,"urn:cite:hmt:vaimg.VA139RN-0311@0.588,0.2813,0.239,0.09",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msA.hmt:11.45,"urn:cite:hmt:vaimg.VA139RN-0311@0.603,0.3668,0.213,0.0488",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msA.hmt:11.46,"urn:cite:hmt:vaimg.VA139RN-0311@0.126,0.7194,0.672,0.03",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msA.hmt:11.47,"urn:cite:hmt:vaimg.VA139RN-0311@0.315,0.7367,0.438,0.0225",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msA.hmt:11.48,"urn:cite:hmt:vaimg.VA139RN-0311@0.151,0.7457,0.65,0.0518",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msA.hmt:11.49,"urn:cite:hmt:vaimg.VA139RN-0311@0.155,0.7824,0.639,0.0518",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msA.hmt:11.50,"urn:cite:hmt:vaimg.VA139VN-0641@0.191,0.138,0.723,0.0405",urn:cite:hmt:msA.139v
urn:cts:greekLit:tlg5026.msA.hmt:11.51,"urn:cite:hmt:vaimg.VA139VN-0641@0.205,0.1545,0.726,0.0338",urn:cite:hmt:msA.139v
urn:cts:greekLit:tlg5026.msA.hmt:11.52,"urn:cite:hmt:vaimg.VA139VN-0641@0.186,0.1793,0.726,0.033",urn:cite:hmt:msA.139v
urn:cts:greekLit:tlg5026.msA.hmt:11.53,"urn:cite:hmt:vaimg.VA139VN-0641@0.203,0.1913,0.712,0.0413",urn:cite:hmt:msA.139v
