Observation,TextUrn,Image,Comments
urn:cite:op:hmt11.1,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@ἀ,"urn:cite:hmt:vaimg.VA139VN-0641@0.475,0.2498,0.015,0.027",
urn:cite:op:hmt11.2,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@υ,"urn:cite:hmt:vaimg.VA139VN-0641@0.49,0.2558,0.011,0.018",
urn:cite:op:hmt11.3,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@τ,"urn:cite:hmt:vaimg.VA139VN-0641@0.498,0.2558,0.015,0.018",
urn:cite:op:hmt11.4,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@α,"urn:cite:hmt:vaimg.VA139VN-0641@0.51,0.2566,0.013,0.015",
urn:cite:op:hmt11.5,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@ρ,"",
urn:cite:op:hmt11.6,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@,"",
urn:cite:op:hmt11.7,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@,"",
urn:cite:op:hmt11.8,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@,"",
urn:cite:op:hmt11.9,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@,"",
urn:cite:op:hmt11.10,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@,"",
urn:cite:op:hmt11.11,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@,"",
urn:cite:op:hmt11.12,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@,"",
urn:cite:op:hmt11.13,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@,"",
urn:cite:op:hmt11.14,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@,"",
urn:cite:op:hmt11.15,urn:cts:greekLit:tlg0012.tlg001.msA:11.1@,"",
