Slur,Reading,Image
urn:cite:hmt:venAslur.1,urn:cts:greekLit:tlg5026.msA.hmt:11.32@πολυδάδαλον,"urn:cite:hmt:vaimg.VA138RN-0310@0.373,0.3343,0.125,0.0233"
urn:cite:hmt:venAslur.2,urn:cts:greekLit:tlg5026.msA.hmt:11.96@χαλκοβάρεια,"urn:cite:hmt:vaimg.VA139RN-0311@0.455,0.6101,0.145,0.027"
urn:cite:hmt:venAslur.3,urn:cts:greekLit:tlg5026.msA.hmt:11.100@περίδυσε,"urn:cite:hmt:vaimg.VA139RN-0311@0.409,0.6882,0.093,0.027"
urn:cite:hmt:venAslur.4,urn:cts:greekLit:tlg5026.msA.hmt:11.133@πολύκμητός,"urn:cite:hmt:vaimg.VA140RN-0312@0.343,0.3418,0.122,0.0218"
urn:cite:hmt:venAslur.5,urn:cts:greekLit:tlg5026.msA.hmt:11.152@ἐρίγδουποι,"urn:cite:hmt:vaimg.VA140VN-0642@0.695,0.2487,0.095,0.0255"
urn:cite:hmt:venAslur.6,urn:cts:greekLit:tlg5026.msA.hmt:11.185@χρυσόπτερον,"urn:cite:hmt:vaimg.VA141RN-0313@0.298,0.3772,0.115,0.024"
urn:cite:hmt:venAslur.7,urn:cts:greekLit:tlg5026.msA.hmt:11.224@καλλιπάρηον,"urn:cite:hmt:vaimg.VA141VN-0643@0.779,0.6627,0.122,0.0225"
urn:cite:hmt:venAslur.8,urn:cts:greekLit:tlg5026.msA.hmt:11.228@δυοκαίδεκα,"urn:cite:hmt:vaimg.VA142RN-0314@0.198,0.2449,0.127,0.0203"
urn:cite:hmt:venAslur.9,urn:cts:greekLit:tlg5026.msA.hmt:11.236@παναίολον,"urn:cite:hmt:vaimg.VA142RN-0314@0.334,0.3989,0.093,0.0195"
urn:cite:hmt:venAslur.10,urn:cts:greekLit:tlg5026.msA.hmt:11.248@ἀριδείκετος,"urn:cite:hmt:vaimg.VA142RN-0314@0.399,0.6258,0.115,0.0225"
urn:cite:hmt:venAslur.11,urn:cts:greekLit:tlg5026.msA.hmt:11.256@ἀνεμοτρεφὲς,"urn:cite:hmt:vaimg.VA142VN-0644@0.715,0.3246,0.125,0.0248"
urn:cite:hmt:venAslur.12,urn:cts:greekLit:tlg5026.msA.hmt:11.270@μογοστόκοι,"urn:cite:hmt:vaimg.VA142VN-0644@0.704,0.5935,0.094,0.0195"
urn:cite:hmt:venAslur.13,urn:cts:greekLit:tlg5026.msA.hmt:11.308@πολυπλάγκτοιο,"urn:cite:hmt:vaimg.VA143VN-0645@0.706,0.3666,0.125,0.024"
urn:cite:hmt:venAslur.14,urn:cts:greekLit:tlg5026.msA.hmt:11.349@δολιχόσκιον,""
urn:cite:hmt:venAslur.15,urn:cts:greekLit:tlg5026.msA.hmt:11.369@ἠϋκόμοιο,""
urn:cite:hmt:venAslur.16,urn:cts:greekLit:tlg5026.msA.hmt:11.371@ἀνδροκμήτῳ,""
urn:cite:hmt:venAslur.17,urn:cts:greekLit:tlg5026.msA.hmt:11.423@Χερσιδάμαντα,""
urn:cite:hmt:venAslur.18,urn:cts:greekLit:tlg5026.msA.hmt:11.427@αὐτοκασίγνητον,""
urn:cite:hmt:venAslur.19,urn:cts:greekLit:tlg5026.msA.hmt:11.463@ἀρηί̈φιλος,""
urn:cite:hmt:venAslur.20,urn:cts:greekLit:tlg5026.msA.hmt:11.466@ταλασίφιλος,""
urn:cite:hmt:venAslur.21,urn:cts:greekLit:tlg5026.msA.hmt:11.
urn:cite:hmt:venAslur.22,urn:cts:greekLit:tlg5026.msA.hmt:11.
urn:cite:hmt:venAslur.23,urn:cts:greekLit:tlg5026.msA.hmt:11.
urn:cite:hmt:venAslur.24,urn:cts:greekLit:tlg5026.msA.hmt:11.
urn:cite:hmt:venAslur.25,urn:cts:greekLit:tlg5026.msA.hmt:11.
urn:cite:hmt:venAslur.26,urn:cts:greekLit:tlg5026.msA.hmt:11.
urn:cite:hmt:venAslur.27,urn:cts:greekLit:tlg5026.msA.hmt:11.
urn:cite:hmt:venAslur.28,urn:cts:greekLit:tlg5026.msA.hmt:11.
urn:cite:hmt:venAslur.29,urn:cts:greekLit:tlg5026.msA.hmt:11.
urn:cite:hmt:venAslur.30,urn:cts:greekLit:tlg5026.msA.hmt:11.
