Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:11.1,"urn:cite:hmt:vaimg.VA137VN-0639@0.4208,0.4361,0.0381,0.0346",
urn:cts:greekLit:tlg5026.msAim.hmt:11.2,"urn:cite:hmt:vaimg.VA137VN-0639@0.4148,0.6782,0.0491,0.0323",
urn:cts:greekLit:tlg5026.msAim.hmt:11.3,"urn:cite:hmt:vaimg.VA138RN-0310@0.5661,0.2406,0.0301,0.0195",
urn:cts:greekLit:tlg5026.msAim.hmt:11.4,"urn:cite:hmt:vaimg.VA138VN-0640@0.542,0.2117,0.37,0.0345",
urn:cts:greekLit:tlg5026.msAim.hmt:11.5,"urn:cite:hmt:vaimg.VA138VN-0640@0.426,0.2673,0.057,0.027",
urn:cts:greekLit:tlg5026.msAim.hmt:11.6,"urn:cite:hmt:vaimg.VA138VN-0640@0.425,0.3086,0.047,0.045",
urn:cts:greekLit:tlg5026.msAim.hmt:11.7,"urn:cite:hmt:vaimg.VA138VN-0640@0.429,0.3498,0.049,0.03",
urn:cts:greekLit:tlg5026.msAim.hmt:11.8,"urn:cite:hmt:vaimg.VA138VN-0640@0.431,0.6396,0.05,0.0833",
urn:cts:greekLit:tlg5026.msAim.hmt:11.9,"urn:cite:hmt:vaimg.VA139RN-0311@0.5691,0.497,0.0601,0.0173",
urn:cts:greekLit:tlg5026.msAim.hmt:11.10,"urn:cite:hmt:vaimg.VA139RN-0311@0.5942,0.5143,0.0591,0.0233",
urn:cts:greekLit:tlg5026.msAim.hmt:11.11,"urn:cite:hmt:vaimg.VA139RN-0311@0.6062,0.5361,0.0882,0.0165",
urn:cts:greekLit:tlg5026.msAim.hmt:11.12,"",
