URN, Image Reference
urn:cts:greekLit:tlg5026.msAext.hmt:11.1, "urn:cite:hmt:vaimg.VA138RN-0310@0.8156,0.4895,0.0621,0.0195"
urn:cts:greekLit:tlg5026.msAext.hmt:11.2, "urn:cite:hmt:vaimg.VA138RN-0310@0.8096,0.6414,0.0772,0.0241"
urn:cts:greekLit:tlg5026.msAext.hmt:11.3, 
urn:cts:greekLit:tlg5026.msAext.hmt:11.4,
urn:cts:greekLit:tlg5026.msAext.hmt:11.5,
urn:cts:greekLit:tlg5026.msAext.hmt:11.6,
urn:cts:greekLit:tlg5026.msAext.hmt:11.7,
urn:cts:greekLit:tlg5026.msAext.hmt:11.8,
urn:cts:greekLit:tlg5026.msAext.hmt:11.9,
urn:cts:greekLit:tlg5026.msAext.hmt:11.10,
urn:cts:greekLit:tlg5026.msAext.hmt:11.11,
urn:cts:greekLit:tlg5026.msAext.hmt:11.12,
