URN, Image Reference
urn:cts:greekLit:tlg5026.msAim.hmt:11.1, "urn:cite:hmt:vaimg.VA137VN-0639@0.4208,0.4361,0.0381,0.0346"
urn:cts:greekLit:tlg5026.msAim.hmt:11.2, "urn:cite:hmt:vaimg.VA137VN-0639@0.4148,0.6782,0.0491,0.0323"
urn:cts:greekLit:tlg5026.msAim.hmt:11.3, "urn:cite:hmt:vaimg.VA138RN-0310@0.5661,0.2406,0.0301,0.0195"
urn:cts:greekLit:tlg5026.msAim.hmt:11.4, 
urn:cts:greekLit:tlg5026.msAim.hmt:11.5,
urn:cts:greekLit:tlg5026.msAim.hmt:11.6,
urn:cts:greekLit:tlg5026.msAim.hmt:11.7,
urn:cts:greekLit:tlg5026.msAim.hmt:11.8,
urn:cts:greekLit:tlg5026.msAim.hmt:11.9,
urn:cts:greekLit:tlg5026.msAim.hmt:11.10,
urn:cts:greekLit:tlg5026.msAim.hmt:11.11,
urn:cts:greekLit:tlg5026.msAim.hmt:11.12,
