Text,Image
urn:cts:greekLit:tlg0012.tlg001.e3:11.1,"urn:cite:hmt:e3img.E3-136v@0.4224,0.3376,0.4064,0.0503"
urn:cts:greekLit:tlg0012.tlg001.e3:11.2,"urn:cite:hmt:e3img.E3-136v@0.4384,0.3631,0.4274,0.0293"
urn:cts:greekLit:tlg0012.tlg001.e3:11.3,"urn:cite:hmt:e3img.E3-136v@0.4394,0.3826,0.4274,0.0293"
urn:cts:greekLit:tlg0012.tlg001.e3:11.4,"urn:cite:hmt:e3img.E3-136v@0.4404,0.3968,0.4384,0.0338"
urn:cts:greekLit:tlg0012.tlg001.e3:11.5,"urn:cite:hmt:e3img.E3-136v@0.4404,0.4209,0.4324,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.6,"urn:cite:hmt:e3img.E3-136v@0.4404,0.4336,0.4354,0.0293"
urn:cts:greekLit:tlg0012.tlg001.e3:11.7,"urn:cite:hmt:e3img.E3-136v@0.4414,0.4524,0.4234,0.0255"
urn:cts:greekLit:tlg0012.tlg001.e3:11.8,"urn:cite:hmt:e3img.E3-136v@0.4404,0.4681,0.4154,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.9,"urn:cite:hmt:e3img.E3-136v@0.4414,0.4869,0.4224,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.10,"urn:cite:hmt:e3img.E3-136v@0.4384,0.5049,0.3784,0.024"
urn:cts:greekLit:tlg0012.tlg001.e3:11.11,"urn:cite:hmt:e3img.E3-136v@0.4434,0.5214,0.4184,0.024"
urn:cts:greekLit:tlg0012.tlg001.e3:11.12,"urn:cite:hmt:e3img.E3-136v@0.4414,0.5394,0.4324,0.024"
urn:cts:greekLit:tlg0012.tlg001.e3:11.13,"urn:cite:hmt:e3img.E3-136v@0.4394,0.5551,0.4224,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:11.14,"urn:cite:hmt:e3img.E3-136v@0.4434,0.5739,0.4274,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.15,"urn:cite:hmt:e3img.E3-136v@0.4264,0.5896,0.4274,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.16,"urn:cite:hmt:e3img.E3-136v@0.4394,0.6047,0.4304,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.17,"urn:cite:hmt:e3img.E3-136v@0.4414,0.6219,0.4304,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.18,"urn:cite:hmt:e3img.E3-136v@0.4374,0.6407,0.4304,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.19,"urn:cite:hmt:e3img.E3-136v@0.4354,0.6557,0.4234,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.20,"urn:cite:hmt:e3img.E3-136v@0.4354,0.6767,0.4234,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.21,"urn:cite:hmt:e3img.E3-136v@0.4354,0.6924,0.4314,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.22,"urn:cite:hmt:e3img.E3-136v@0.4354,0.7074,0.4314,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.23,"urn:cite:hmt:e3img.E3-137r@0.1692,0.2123,0.4164,0.0323"
urn:cts:greekLit:tlg0012.tlg001.e3:11.24,"urn:cite:hmt:e3img.E3-137r@0.1712,0.2303,0.4224,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:11.25,"urn:cite:hmt:e3img.E3-137r@0.1692,0.2476,0.4224,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:11.26,"urn:cite:hmt:e3img.E3-137r@0.1632,0.2618,0.4384,0.0293"
urn:cts:greekLit:tlg0012.tlg001.e3:11.27,"urn:cite:hmt:e3img.E3-137r@0.1622,0.2821,0.4284,0.0263"
urn:cts:greekLit:tlg0012.tlg001.e3:11.28,"urn:cite:hmt:e3img.E3-137r@0.1632,0.2986,0.4444,0.0293"
urn:cts:greekLit:tlg0012.tlg001.e3:11.29,"urn:cite:hmt:e3img.E3-137r@0.1612,0.3166,0.4304,0.03"
urn:cts:greekLit:tlg0012.tlg001.e3:11.30,"urn:cite:hmt:e3img.E3-137r@0.1642,0.3338,0.4214,0.0323"
urn:cts:greekLit:tlg0012.tlg001.e3:11.31,"urn:cite:hmt:e3img.E3-137r@0.1622,0.3526,0.4284,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e3:11.32,"urn:cite:hmt:e3img.E3-137r@0.1632,0.3691,0.4464,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.33,"urn:cite:hmt:e3img.E3-137r@0.1632,0.3848,0.4274,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.34,"urn:cite:hmt:e3img.E3-137r@0.1622,0.4014,0.4274,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.35,"urn:cite:hmt:e3img.E3-137r@0.1622,0.4186,0.4424,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.36,"urn:cite:hmt:e3img.E3-137r@0.1622,0.4344,0.4344,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.37,"urn:cite:hmt:e3img.E3-137r@0.1612,0.4531,0.4344,0.0308"
urn:cts:greekLit:tlg0012.tlg001.e3:11.38,"urn:cite:hmt:e3img.E3-137r@0.1652,0.4689,0.4384,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:11.39,"urn:cite:hmt:e3img.E3-137r@0.1622,0.4876,0.4314,0.0248"
urn:cts:greekLit:tlg0012.tlg001.e3:11.40,"urn:cite:hmt:e3img.E3-137r@0.1652,0.5049,0.4314,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:11.41,"urn:cite:hmt:e3img.E3-137r@0.1642,0.5176,0.4565,0.0338"
urn:cts:greekLit:tlg0012.tlg001.e3:11.42,"urn:cite:hmt:e3img.E3-137r@0.1622,0.5379,0.4284,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:11.43,"urn:cite:hmt:e3img.E3-137r@0.1622,0.5514,0.4454,0.0323"
urn:cts:greekLit:tlg0012.tlg001.e3:11.44,"urn:cite:hmt:e3img.E3-137r@0.1602,0.5701,0.4304,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.45,"urn:cite:hmt:e3img.E3-137r@0.1622,0.5881,0.4304,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.46,"urn:cite:hmt:e3img.E3-137r@0.1652,0.6032,0.4204,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.47,""
urn:cts:greekLit:tlg0012.tlg001.e3:11.48,""
urn:cts:greekLit:tlg0012.tlg001.e3:11.49,""
urn:cts:greekLit:tlg0012.tlg001.e3:11.50,""
urn:cts:greekLit:tlg0012.tlg001.e3:11.51,
urn:cts:greekLit:tlg0012.tlg001.e3:11.52,
